bibkey,type,author,title,year,venue_or_publisher,doi,url,note
CadekEtAl2018,article,"Martin Cadek, Marek Krcal, Jiri Matousek, Lukas Vokrinek, and Uli Wagner",Polynomial-time computation of homotopy groups and Postnikov systems in fixed dimension,2018,J. ACM / arXiv:1211.3093,,,
FilakovskyEtAl2019,article,"Marek Filakovsky, Peter Franek, Uli Wagner, and Stephan Zhechev",Computing simplicial representatives of homotopy group elements,2019,J. Appl. Comput. Topol. / arXiv:1706.00380,,,
RubioSergeraert,misc,Julio Rubio and Francis Sergeraert,Constructive algebraic topology and effective homology,1990s-2010s,Kenzo/effective-homology literature,,,
BrunerRognes2021,misc,Robert Bruner and John Rognes,The cohomology of the mod 2 Steenrod algebra [data set],2021,"Norstore, DOI 10.11582/2021.00077",,,
IsaksenWangXuCharts2022,misc,"Daniel Isaksen, Guozhen Wang, and Zhouli Xu",Classical and C-motivic Adams charts,2022,"Zenodo, DOI 10.5281/zenodo.6987156",,,
IsaksenWangXuNovikovCharts2022,misc,"Daniel Isaksen, Guozhen Wang, and Zhouli Xu",Classical algebraic Novikov charts and C-motivic Adams charts for the cofiber of tau,2022,"Zenodo, DOI 10.5281/zenodo.6987226",,,
LinWangXuMachine2025,misc,"Weinan Lin, Guozhen Wang, and Zhouli Xu",Machine proofs for Adams differentials and extension problems among CW spectra,2025,arXiv:2412.10876v2 and Zenodo dataset,,,
SeqSee2025,misc,Joey Beauvais-Feisthauer and Daniel Isaksen,SeqSee: a schema-based approach to spectral sequence visualization,2025,arXiv:2501.18429v2,,,
AdamsVectorFields1962,article,J. Frank Adams,Vector fields on spheres,1962,"Ann. of Math. 75, 603-632",,,
AtiyahBottShapiro1964,article,"Michael Atiyah, Raoul Bott, and Arnold Shapiro",Clifford modules,1964,"Topology 3, Suppl. 1, 3-38",,,
Smale1961,article,Stephen Smale,Generalized Poincare’s conjecture in dimensions greater than four,1961,"Ann. of Math. 74, 391-406",,,
Cerf1970,article,Jean Cerf,La stratification naturelle des espaces de fonctions différentiables réelles et le théorème de la pseudo-isotopie,1970,"Publ. Math. IHES 39, 5-173",,,
BauerEtAl2026,misc,Tilman Bauer and collaborators,Infinite families of very exotic spheres with free S^1- and S^3-actions,2026,arXiv:2603.23241,,,
Morris2026,misc,Jackson Morris,Periodic phenomena in stable motivic homotopy theory,2026,arXiv:2607.18165,,,
Ravenel2026Third,book,Douglas C. Ravenel,Complex Cobordism and Stable Homotopy Groups of Spheres,2026,,,https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf,
Toda2003,book,Hirosi Toda,Unstable 3-Primary Homotopy Groups of Spheres,2003,"Association of Econoinformatics, Himeji Dokkyo University",,,
BurklundIsaksenXu2025,article,Robert Burklund and Daniel C. Isaksen and Zhouli Xu,Classical Stable Homotopy Groups of Spheres via F_2-Synthetic Methods,2025,Peking Mathematical Journal,10.1007/s42543-025-00098-y,,
CarrickDavies2025HeightTwo,misc,Christian Carrick and Jack Morgan Davies,On Periodic Families in the Stable Stems of Height Two,2025,arXiv:2506.20507v2,,https://arxiv.org/abs/2506.20507,
CarrickDavies2026Prime3,misc,Christian Carrick and Jack Morgan Davies,Nonvanishing of Products in v_2-Periodic Families at the Prime 3,2026,"arXiv:2410.02564v3, revised 3 August 2026",,https://arxiv.org/abs/2410.02564,
BhattacharyaBobkovaQuigley2024,misc,Prasit Bhattacharya and Irina Bobkova and J. D. Quigley,New Infinite Families in the Stable Homotopy Groups of Spheres,2024,arXiv:2404.10062,,https://arxiv.org/abs/2404.10062,
BobkovaQuigley2026,misc,Irina Bobkova and J. D. Quigley,New Simple eta-Torsion Families of Elements in the Stable Stems,2026,"arXiv:2410.21181, current revision",,https://arxiv.org/abs/2410.21181,
Davies2025BetaAction,misc,Jack Morgan Davies,Revisiting the beta_1-Action on the 3-Primary Stable Homotopy Groups of Spheres,2025,arXiv:2511.02324,,https://arxiv.org/abs/2511.02324,
LinWangXuMachine2024,misc,Weinan Lin and Guozhen Wang and Zhouli Xu,Machine Proofs for Adams Differentials and Extension Problems among CW Spectra,2024,arXiv:2412.10876,,https://arxiv.org/abs/2412.10876,
BurklundHahnLevySchlank2023,misc,Robert Burklund and Jeremy Hahn and Ishan Levy and Tomer M. Schlank,K-Theoretic Counterexamples to Ravenel's Telescope Conjecture,2023,arXiv:2310.17459,,https://arxiv.org/abs/2310.17459,
BurklundSenger2022Growth,misc,Robert Burklund and Andrew Senger,On the Growth of the Stable Homotopy Groups of Spheres,2022,arXiv:2203.00670,,https://arxiv.org/abs/2203.00670,
BurklundXu2025Doomsday,article,Robert Burklund and Zhouli Xu,The Adams Differentials on the h_j^3-Family,2025,Inventiones Mathematicae,,,
LiLi2026EFamily,article,Guchuan Li and Yunze Li,The Adams Differentials on the e-Family,2026,"Proceedings of the American Mathematical Society, electronically published",10.1090/proc/17823,https://www.ams.org/journals/proc/0000-000-00/S0002-9939-2026-17823-1/,
BenMoshe2026RedshiftBound,misc,Shay Ben-Moshe,The Redshift Bound from Quillen--Lichtenbaum,2026,arXiv:2608.02180,,https://arxiv.org/abs/2608.02180,
Beaudry2015ChromaticSplitting,article,Agnès Beaudry,The Chromatic Splitting Conjecture at n=p=2,2015,arXiv:1502.02190,,https://arxiv.org/abs/1502.02190,
Selick1983Moore,article,Paul Selick,On Conjectures of Moore and Serre in the Case of Torsion-Free Suspensions,1983,Mathematical Proceedings of the Cambridge Philosophical Society,10.1017/S0305004100000423,,
Freyd1966,article,Peter Freyd,Stable Homotopy,1966,"Proceedings of the Conference on Categorical Algebra, La Jolla",,,
MiyauchiMukai2026Relations,misc,Toshiyuki Miyauchi and Juno Mukai,Relations in the 24-th Homotopy Groups of Spheres,2026,arXiv:2606.12046,,https://arxiv.org/abs/2606.12046,
