residue_mod_192,row_label,cyclic_order,representative_notation,filtration_range_as_source,number_of_families_in_row,stems,tmf_Hurewicz,detector,source,source_url
74,a,Z/4,nu [nu bar-kappa Delta^2],[6],3,"74+192k, k>=0",zero,Atkin-Lehner fixed-point spectrum J_0(3); T(2)/K(2)-local nonvanishing as established in cited works,"Christian Carrick and Jack Morgan Davies, On periodic families in the stable stems of height two, arXiv:2506.20507v2 (2025)",https://arxiv.org/abs/2506.20507
74,b,Z/2,kappa bar-kappa^3,[14],2,"74+192k, k>=0",zero,Atkin-Lehner fixed-point spectrum J_0(3); T(2)/K(2)-local nonvanishing as established in cited works,"Christian Carrick and Jack Morgan Davies, On periodic families in the stable stems of height two, arXiv:2506.20507v2 (2025)",https://arxiv.org/abs/2506.20507
95,,Z/2,[4 nu bar-kappa Delta^3],[5],1,"95+192k, k>=0",zero,Atkin-Lehner fixed-point spectrum J_0(3); T(2)/K(2)-local nonvanishing as established in cited works,"Christian Carrick and Jack Morgan Davies, On periodic families in the stable stems of height two, arXiv:2506.20507v2 (2025)",https://arxiv.org/abs/2506.20507
119,a,Z/4,nu [2 bar-kappa Delta^4],[5],1,"119+192k, k>=0",zero,Atkin-Lehner fixed-point spectrum J_0(3); T(2)/K(2)-local nonvanishing as established in cited works,"Christian Carrick and Jack Morgan Davies, On periodic families in the stable stems of height two, arXiv:2506.20507v2 (2025)",https://arxiv.org/abs/2506.20507
119,b,Z/2,eta epsilon [kappa Delta^4],"[5,7]",11,"119+192k, k>=0",zero,Atkin-Lehner fixed-point spectrum J_0(3); T(2)/K(2)-local nonvanishing as established in cited works,"Christian Carrick and Jack Morgan Davies, On periodic families in the stable stems of height two, arXiv:2506.20507v2 (2025)",https://arxiv.org/abs/2506.20507
120,,Z/2,nu [eta bar-kappa Delta^4],"[6,24]",2,"120+192k, k>=0",zero,Atkin-Lehner fixed-point spectrum J_0(3); T(2)/K(2)-local nonvanishing as established in cited works,"Christian Carrick and Jack Morgan Davies, On periodic families in the stable stems of height two, arXiv:2506.20507v2 (2025)",https://arxiv.org/abs/2506.20507
122,,Z/2,bar-kappa [nu^2 Delta^4],[6],2,"122+192k, k>=0",zero,Atkin-Lehner fixed-point spectrum J_0(3); T(2)/K(2)-local nonvanishing as established in cited works,"Christian Carrick and Jack Morgan Davies, On periodic families in the stable stems of height two, arXiv:2506.20507v2 (2025)",https://arxiv.org/abs/2506.20507
143,,Z/2,epsilon [eta kappa Delta^5],[5],8,"143+192k, k>=0",zero,Atkin-Lehner fixed-point spectrum J_0(3); T(2)/K(2)-local nonvanishing as established in cited works,"Christian Carrick and Jack Morgan Davies, On periodic families in the stable stems of height two, arXiv:2506.20507v2 (2025)",https://arxiv.org/abs/2506.20507
144,,Z/2,kappa bar-kappa [kappa Delta^4],"[8,10]",5,"144+192k, k>=0",zero,Atkin-Lehner fixed-point spectrum J_0(3); T(2)/K(2)-local nonvanishing as established in cited works,"Christian Carrick and Jack Morgan Davies, On periodic families in the stable stems of height two, arXiv:2506.20507v2 (2025)",https://arxiv.org/abs/2506.20507
145,,Z/2,nu kappa [epsilon Delta^5],"[5,25]",13,"145+192k, k>=0",zero,Atkin-Lehner fixed-point spectrum J_0(3); T(2)/K(2)-local nonvanishing as established in cited works,"Christian Carrick and Jack Morgan Davies, On periodic families in the stable stems of height two, arXiv:2506.20507v2 (2025)",https://arxiv.org/abs/2506.20507
167,,Z/2,[eta kappa Delta][epsilon Delta^5],[5],12,"167+192k, k>=0",zero,Atkin-Lehner fixed-point spectrum J_0(3); T(2)/K(2)-local nonvanishing as established in cited works,"Christian Carrick and Jack Morgan Davies, On periodic families in the stable stems of height two, arXiv:2506.20507v2 (2025)",https://arxiv.org/abs/2506.20507
168,,Z/2,bar-kappa^2 [epsilon Delta^5],[10],2,"168+192k, k>=0",zero,Atkin-Lehner fixed-point spectrum J_0(3); T(2)/K(2)-local nonvanishing as established in cited works,"Christian Carrick and Jack Morgan Davies, On periodic families in the stable stems of height two, arXiv:2506.20507v2 (2025)",https://arxiv.org/abs/2506.20507
169,,Z/2,kappa bar-kappa [eta kappa Delta^5],"[9,11]",14,"169+192k, k>=0",zero,Atkin-Lehner fixed-point spectrum J_0(3); T(2)/K(2)-local nonvanishing as established in cited works,"Christian Carrick and Jack Morgan Davies, On periodic families in the stable stems of height two, arXiv:2506.20507v2 (2025)",https://arxiv.org/abs/2506.20507
170,a,Z/8,bar-kappa [nu^2 Delta^6],[6],2,"170+192k, k>=0",zero,Atkin-Lehner fixed-point spectrum J_0(3); T(2)/K(2)-local nonvanishing as established in cited works,"Christian Carrick and Jack Morgan Davies, On periodic families in the stable stems of height two, arXiv:2506.20507v2 (2025)",https://arxiv.org/abs/2506.20507
170,b,Z/4,bar-kappa^3 [kappa Delta^4],[14],2,"170+192k, k>=0",zero,Atkin-Lehner fixed-point spectrum J_0(3); T(2)/K(2)-local nonvanishing as established in cited works,"Christian Carrick and Jack Morgan Davies, On periodic families in the stable stems of height two, arXiv:2506.20507v2 (2025)",https://arxiv.org/abs/2506.20507
170,c,Z/2,nu^3 [nu kappa Delta^6],"[6,26]",6,"170+192k, k>=0",zero,Atkin-Lehner fixed-point spectrum J_0(3); T(2)/K(2)-local nonvanishing as established in cited works,"Christian Carrick and Jack Morgan Davies, On periodic families in the stable stems of height two, arXiv:2506.20507v2 (2025)",https://arxiv.org/abs/2506.20507
