stem,element,order,relation_or_definition,status,source,source_url
85,"<alpha_1,alpha_1,beta_2^3>",3,= beta_1 mu,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
85,alpha_1 beta_{6/3},3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
86,beta_{6/2},3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
90,beta_6,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
91,beta_1 gamma_2,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
91,beta_1 x_81,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
92,beta_1 beta_{6/3},3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
92,x_92,3,"<beta_1,3,gamma_2>",published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
93,x_93,9,"<alpha_1,alpha_1,beta_{6/2}>; 3x_93=alpha_1 beta_6",published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
94,alpha_1 beta_1 gamma_2,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
94,beta_1^2 beta_5,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
95,alpha_1 beta_1 beta_{6/3},3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
99,"<alpha_1,alpha_1,x_92>",3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
100,beta_2 beta_5,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
101,beta_1^2 gamma_2,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
101,beta_1^2 x_81,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
102,beta_1^2 beta_{6/3},3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
102,beta_1 x_92,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
104,alpha_1 beta_1^2 gamma_2,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
106,x_106,3,= beta_7 +/- beta_{9/9},published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
107,gamma_2 beta_2,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
107,beta_2 x_81,3,,published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
108,beta_2 beta_{6/3},3,"<alpha_1,alpha_1,beta_1^2 x_81>",published table; exact through stem 108,"Douglas C. Ravenel, Complex Cobordism and Stable Homotopy Groups of Spheres, 3rd digital ed. (2026), Table A3.2",https://www.sas.rochester.edu/mth/sites/doug-ravenel/mybooks/ravenel.pdf
