stem,2-primary_v1_torsion_compact,2-primary_v1_torsion,odd-primary_v1_torsion_compact,odd-primary_v1_torsion,v1_periodic_compact,v1_periodic,total_additive_group,status
72,2^7,(Z/2)^7,3,Z/3,2,Z/2,(Z/2)^7 + Z/3 + Z/2,exact
73,2^5,(Z/2)^5,,0,2^2,(Z/2)^2,(Z/2)^5 + (Z/2)^2,exact
74,4^3,(Z/4)^3,3,Z/3,2,Z/2,(Z/4)^3 + Z/3 + Z/2,exact
75,2,Z/2,9,Z/9,8*3,Z/8 + Z/3,Z/2 + Z/9 + Z/8 + Z/3,exact
76,2^2*4,(Z/2)^2 + Z/4,5,Z/5,,0,(Z/2)^2 + Z/4 + Z/5,exact
77,2^5*4,(Z/2)^5 + Z/4,,0,,0,(Z/2)^5 + Z/4,exact
78,2^3*4^2,(Z/2)^3 + (Z/4)^2,3,Z/3,,0,(Z/2)^3 + (Z/4)^2 + Z/3,exact
79,2^6*4,(Z/2)^6 + Z/4,,0,32*3*25*11*41,Z/32 + Z/3 + Z/25 + Z/11 + Z/41,(Z/2)^6 + Z/4 + Z/32 + Z/3 + Z/25 + Z/11 + Z/41,exact
80,2^8,(Z/2)^8,,0,2,Z/2,(Z/2)^8 + Z/2,exact
81,2^3*4*8,(Z/2)^3 + Z/4 + Z/8,3^2,(Z/3)^2,2^2,(Z/2)^2,(Z/2)^3 + Z/4 + Z/8 + (Z/3)^2 + (Z/2)^2,exact
82,2^5*8,(Z/2)^5 + Z/8,3*7,Z/3 + Z/7,2,Z/2,(Z/2)^5 + Z/8 + Z/3 + Z/7 + Z/2,exact; completed 2025
83,2^3*8,(Z/2)^3 + Z/8,5,Z/5,8*9*49*43,Z/8 + Z/9 + Z/49 + Z/43,(Z/2)^3 + Z/8 + Z/5 + Z/8 + Z/9 + Z/49 + Z/43,exact; completed 2025
84,2^6 OR 2^5,(Z/2)^6 OR (Z/2)^5,3^2,(Z/3)^2,,0,[(Z/2)^6 + (Z/3)^2] OR [(Z/2)^5 + (Z/3)^2],partial: one unresolved Z/2
85,2^6*4^2 OR 2^5*4^2 OR 2^4*4^3 OR 2^7*4,(Z/2)^6 + (Z/4)^2 OR (Z/2)^5 + (Z/4)^2 OR (Z/2)^4 + (Z/4)^3 OR (Z/2)^7 + Z/4,3^2,(Z/3)^2,,0,[(Z/2)^6 + (Z/4)^2 + (Z/3)^2] OR [(Z/2)^5 + (Z/4)^2 + (Z/3)^2] OR [(Z/2)^4 + (Z/4)^3 + (Z/3)^2] OR [(Z/2)^7 + Z/4 + (Z/3)^2],partial: extension/differential ambiguity
86,2^4*8^2 OR 2^2*4*8^2,(Z/2)^4 + (Z/8)^2 OR (Z/2)^2 + Z/4 + (Z/8)^2,3*5,Z/3 + Z/5,,0,[(Z/2)^4 + (Z/8)^2 + Z/3 + Z/5] OR [(Z/2)^2 + Z/4 + (Z/8)^2 + Z/3 + Z/5],partial: 2-primary ambiguity
87,2^5*4,(Z/2)^5 + Z/4,,0,16*3*5*23,Z/16 + Z/3 + Z/5 + Z/23,(Z/2)^5 + Z/4 + Z/16 + Z/3 + Z/5 + Z/23,exact
88,2^4*4,(Z/2)^4 + Z/4,,0,2,Z/2,(Z/2)^4 + Z/4 + Z/2,exact
89,2^3,(Z/2)^3,,0,2^2,(Z/2)^2,(Z/2)^3 + (Z/2)^2,exact
90,2^3*8 OR 2^2*8,(Z/2)^3 + Z/8 OR (Z/2)^2 + Z/8,3,Z/3,2,Z/2,[(Z/2)^3 + Z/8 + Z/3 + Z/2] OR [(Z/2)^2 + Z/8 + Z/3 + Z/2],partial: one unresolved Z/2
